Rule,Support,Confidence
g_N-Num-A-Dem=0 --> a_N-A-Num-Dem=0, 68, 0.544
a_N-A-Num-Dem=0 --> g_N-Num-A-Dem=0, 68, 0.1259259259259259
b_Dem-Num-A-N=0 --> d_Dem-Num-N-A=0, 61, 0.16621253405994552
d_Dem-Num-N-A=0 --> b_Dem-Num-A-N=0, 61, 0.31443298969072164
c_Dem-N-A-Num=0 --> a_N-A-Num-Dem=0, 31, 0.16489361702127658
a_N-A-Num-Dem=0 --> c_Dem-N-A-Num=0, 31, 0.05740740740740741
f_N-A-Dem-Num=0 --> a_N-A-Num-Dem=0, 27, 0.2523364485981308
a_N-A-Num-Dem=0 --> f_N-A-Dem-Num=0, 27, 0.05
e_Num-N-A-Dem=0 --> a_N-A-Num-Dem=0, 25, 0.1016260162601626
a_N-A-Num-Dem=0 --> e_Num-N-A-Dem=0, 25, 0.046296296296296294
b_Dem-Num-A-N=0 --> i_Dem-A-N-Num=0, 24, 0.0653950953678474
i_Dem-A-N-Num=0 --> b_Dem-Num-A-N=0, 24, 0.3
c_Dem-N-A-Num=0 --> h_Dem-N-Num-A=0, 24, 0.1276595744680851
h_Dem-N-Num-A=0 --> c_Dem-N-A-Num=0, 24, 0.2962962962962963
o_A-N-Num-Dem=0 --> a_N-A-Num-Dem=0, 24, 0.5333333333333333
a_N-A-Num-Dem=0 --> o_A-N-Num-Dem=0, 24, 0.044444444444444446
m_Num-A-N-Dem=0 --> e_Num-N-A-Dem=0, 21, 0.2625
e_Num-N-A-Dem=0 --> m_Num-A-N-Dem=0, 21, 0.08536585365853659
i_Dem-A-N-Num=0 --> c_Dem-N-A-Num=0, 17, 0.2125
c_Dem-N-A-Num=0 --> i_Dem-A-N-Num=0, 17, 0.09042553191489362
d_Dem-Num-N-A=0 --> e_Num-N-A-Dem=0, 15, 0.07731958762886598
e_Num-N-A-Dem=0 --> d_Dem-Num-N-A=0, 15, 0.06097560975609756
e_Num-N-A-Dem=0 --> g_N-Num-A-Dem=0, 14, 0.056910569105691054
g_N-Num-A-Dem=0 --> e_Num-N-A-Dem=0, 14, 0.112
d_Dem-Num-N-A=0 --> h_Dem-N-Num-A=0, 13, 0.06701030927835051
h_Dem-N-Num-A=0 --> d_Dem-Num-N-A=0, 13, 0.16049382716049382
m_Num-A-N-Dem=0 --> b_Dem-Num-A-N=0, 12, 0.15
b_Dem-Num-A-N=0 --> m_Num-A-N-Dem=0, 12, 0.0326975476839237
