;a_N-A-Num-Dem;f_N-A-Dem-Num;l_N-Dem-Num-A;n_N-Dem-A-Num;g_N-Num-A-Dem;q_N-Num-Dem-A;b_Dem-Num-A-N;d_Dem-Num-N-A;h_Dem-N-Num-A;c_Dem-N-A-Num;r_Dem-A-Num-N;i_Dem-A-N-Num;e_Num-N-A-Dem;m_Num-A-N-Dem;s_Num-Dem-A-N;t_Num-A-Dem-N;u_Num Dem N A;v_Num-N-Dem-A;o_A-N-Num-Dem;w_A-Dem-Num-N;p_A-N-Dem-Num;x_A-Num-Dem-N;y_A-Num-N-Dem;z_A-Dem-N-Num
a_N-A-Num-Dem;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
f_N-A-Dem-Num;0.054134621453075085;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
l_N-Dem-Num-A;0.06168641370319905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
n_N-Dem-A-Num;0.0;0.0;0.6347102119519386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
g_N-Num-A-Dem;0.5287254245607654;0.34100351982608923;0.07258168265975334;0.11914237058688132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
q_N-Num-Dem-A;0.2612153967674979;0.33768130208700564;0.10339591335229457;0.5015593970339939;0.8538795830985695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
b_Dem-Num-A-N;0.0;0.0;0.2375367089570293;0.21684131663235723;0.0;0.007280666068908648;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
d_Dem-Num-N-A;0.0;0.0;0.0;0.20658707209449348;0.0;0.0;0.46507332609656027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
h_Dem-N-Num-A;0.017539365283577038;0.3771818192217195;0.0;0.6148459324357087;0.1020962965060318;0.43330706861226753;0.0;0.200709194136231;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
c_Dem-N-A-Num;0.05088225854970478;0.6296372446879849;0.0;0.20517937894576624;0.17449782339463438;0.5073703492424659;0.0717692704041743;0.0;0.5807374049531226;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
r_Dem-A-Num-N;0.0735245677363125;0.3797847953764362;0.0;0.5558246762472155;0.561213697003579;0.8911026570640973;0.21886292842378297;0.0;0.5464453862792177;0.7976084912105137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
i_Dem-A-N-Num;0.1867841945487659;0.0;0.4645757793871128;0.8472630028024423;0.20284815768952796;0.5709675688069928;0.27424488954174675;0.0;0.4781974819599944;0.48557128378975223;0.7192390174467522;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
e_Num-N-A-Dem;0.0;0.455172426193614;0.0;0.3015008503596642;0.44010596665202506;0.5091471030766596;0.0;0.340701891752166;0.5774884782447398;0.07527902244371215;0.32085341499257997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
m_Num-A-N-Dem;0.0;0.4245822120121061;0.0;0.0;0.5163255103297364;0.5408910307601766;0.48414876884398905;0.08052879916964101;0.0;0.28919356128768464;0.5023276608265302;0.0;0.2659314439084671;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
s_Num-Dem-A-N;0.10716055641129427;0.3385674968862158;0.07652303528770948;0.6898160892253984;0.6249716452127219;0.928081626327571;0.016979415816524512;0.0;0.7058607394077835;0.6474670269785612;0.9379972238259386;0.6991451796593937;0.5610248562923346;0.35404509978141385;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
t_Num-A-Dem-N;0.03476687676526523;0.28192223273619904;0.08809029314235675;0.6736458205214677;0.589616779221777;0.9231573818085874;0.21123311672562145;0.0;0.5845000636827571;0.6823611382675643;0.9795363119875014;0.7447374608416886;0.43271597494391656;0.46605424664007833;0.9761721168685784;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
u_Num Dem N A;0.06043064210590578;0.14358998137454534;0.24331693655860026;0.7524428311214038;0.6012343285528785;0.9225985672511998;0.2229755617065286;0.0;0.5541769878428754;0.5743068552097256;0.9423316132041439;0.7932905091219388;0.42125824952460644;0.40889124888106954;0.9661364647350089;0.9873253951691313;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
